Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards,-9999
1,Courtland Sutton,30,WR,17,16,0,0,0,0,,,,0.0,0.0,124,74,1017,13.7,7,52,54.0,52,4.4,59.8,59.7,8.2,74,13.7,1017,7,0,PB,SuttCo00
2,RJ Harvey,24,RB,17,7,146,540,7,28,45.2,50,3.7,31.8,8.6,58,47,356,7.6,5,18,50.0,32,2.8,20.9,81.0,6.1,193,4.6,896,12,1,,HarvRJ00
3,J.K. Dobbins,27,RB,10,9,153,772,4,37,53.6,41,5.0,77.2,15.3,14,11,37,3.4,0,0,35.7,9,1.1,3.7,78.6,2.6,164,4.9,809,4,0,,DobbJK00
4,Troy Franklin,22,WR,17,7,5,12,0,2,40.0,11,2.4,0.7,0.3,104,65,709,10.9,6,32,48.1,48,3.8,41.7,62.5,6.8,70,10.3,721,6,1,,FranTr00
5,Evan Engram,31,TE,16,2,1,7,0,0,100.0,7,7.0,0.4,0.1,76,50,461,9.2,1,19,43.4,41,3.1,28.8,65.8,6.1,51,9.2,468,1,0,,EngrEv00
6,Marvin Mims,23,WR,15,4,12,78,1,3,58.3,16,6.5,5.2,0.8,51,37,322,8.7,1,14,43.1,31,2.5,21.5,72.5,6.3,49,8.2,400,2,2,,MimsMa00
7,Pat Bryant,23,WR,15,7,0,0,0,0,,,,0.0,0.0,49,31,378,12.2,1,22,55.1,48,2.1,25.2,63.3,7.7,31,12.2,378,1,0,,BryaPa00
8,Bo Nix,25,QB,17,17,83,356,5,25,45.8,25,4.3,20.9,4.9,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,83,4.3,356,5,4,,NixxBo00
9,Jaleel McLaughlin,25,RB,8,1,37,187,1,8,59.5,16,5.1,23.4,4.6,6,4,27,6.8,0,2,50.0,17,0.5,3.4,66.7,4.5,41,5.2,214,1,0,,McLaJa00
10,Adam Trautman,28,TE,17,12,0,0,0,0,,,,0.0,0.0,23,20,195,9.8,1,11,73.9,26,1.2,11.5,87.0,8.5,20,9.8,195,1,0,,TrauAd00
11,Tyler Badie,25,RB,16,0,8,23,0,1,12.5,7,2.9,1.4,0.5,31,19,141,7.4,0,9,38.7,19,1.2,8.8,61.3,4.5,27,6.1,164,0,0,,BadiTy00
12,Lil'Jordan Humphrey,27,WR,7,2,0,0,0,0,,,,0.0,0.0,15,9,101,11.2,1,7,60.0,22,1.3,14.4,60.0,6.7,9,11.2,101,1,0,,HumpLi01
13,Adam Prentice,28,FB,17,3,10,44,0,7,70.0,18,4.4,2.6,0.6,8,6,53,8.8,0,3,50.0,14,0.4,3.1,75.0,6.6,16,6.1,97,0,0,,PrenAd00
14,Michael Bandy,28,WR,4,0,0,0,0,0,,,,0.0,0.0,4,4,50,12.5,1,3,100.0,20,1.0,12.5,100.0,12.5,4,12.5,50,1,1,,BandMi00
15,Nate Adkins,26,TE,9,6,0,0,0,0,,,,0.0,0.0,11,6,48,8.0,1,3,45.5,16,0.7,5.3,54.5,4.4,6,8.0,48,1,0,,AdkiNa00
16,Trent Sherfield,29,WR,10,3,0,0,0,0,,,,0.0,0.0,4,3,21,7.0,0,1,25.0,15,0.3,2.1,75.0,5.3,3,7.0,21,0,0,,SherTr00
17,Lucas Krull,27,TE,3,3,0,0,0,0,,,,0.0,0.0,4,2,15,7.5,0,0,25.0,9,0.7,5.0,50.0,3.8,2,7.5,15,0,0,,KrulLu00
18,Garett Bolles,33,T,17,17,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,PBAP-1,BollGa00
19,Jarrett Stidham,29,QB,1,0,1,-1,0,0,0.0,-1,-1.0,-1.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,-1.0,-1,0,0,,StidJa00
,Team Totals,,,17,17,456,2018,18,111,49.6,50,4.4,118.7,26.8,584,388,3931,10.1,25,196,49.5,52,22.8,231.2,66.4,6.7,844,7.0,5949,43,9,,-9999
