Player,Age,Pos,Games Played,Games Started,Interceptions,IntYards,Interception Touchdowns,Passes Defended,Forced Fumbles,Fumbles,Fumbles Recovered,Fumble Yards,Fumbles Resulted TD,Sacks,Combined Tackles,Solo Tackles,Assisted Tackles,Tackles For Loss,QB Hits,Safeties
Zach Allen,28,DL,17,17,0,0,0,6,0,0,0,0,0,7,38,14,24,4,47,0
Jonathon Cooper,27,OLB,17,17,0,0,0,4,0,0,0,0,0,8,50,23,27,8,16,0
Talanoa Hufanga,26,S,17,17,0,0,0,11,1,0,0,0,0,2,106,67,39,6,3,0
Riley Moss,25,CB,17,17,1,0,0,19,0,0,0,0,0,1,80,57,23,3,1,0
Bo Nix,25,QB,17,17,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
Nik Bonitto,26,OLB,17,16,0,0,0,1,2,0,0,0,0,14,46,31,15,14,28,0
Alex Singleton,32,LB,16,16,0,0,0,4,1,0,0,0,0,1,135,54,81,3,3,0
John Franklin-Myers,29,DL,16,15,0,0,0,0,0,0,0,0,0,7.5,25,12,13,6,15,0
D.J. Jones,30,DT,16,14,0,0,0,1,0,0,0,0,0,3,39,21,18,4,6,0
Patrick Surtain II,25,CB,14,14,1,0,0,12,0,0,0,0,0,0,47,37,10,1,0,0
Brandon Jones,27,S,14,13,1,0,0,7,0,0,1,0,0,0.5,78,43,35,0,2,0
Adam Trautman,28,TE,17,12,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Justin Strnad,29,LB,16,8,1,21,0,3,0,0,0,0,0,4.5,58,23,35,5,8,0
Pat Bryant,23,WR,15,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Troy Franklin,22,WR,17,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dre Greenlaw,28,LB,8,7,1,27,0,2,1,0,0,0,0,1,43,15,28,2,2,0
RJ Harvey,24,RB,17,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nate Adkins,26,TE,9,6,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Jahdae Barron,24,CB,17,5,1,0,0,5,0,0,1,0,0,0,35,24,11,0,0,0
Marvin Mims,23,WR,15,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
P.J. Locke,28,S,16,3,0,0,0,3,0,0,0,0,0,0,16,9,7,1,0,0
Ja'Quan McMillian,25,CB,17,3,2,61,1,9,2,1,0,0,0,4,56,40,16,5,4,0
Adam Prentice,28,FB,17,3,0,0,0,0,0,0,0,0,0,0,11,3,8,0,0,0
Trent Sherfield,29,WR,10,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
Kris Abrams-Draine,24,CB,17,2,0,0,0,1,0,0,0,0,0,0,30,21,9,1,0,0
Malcolm Roach,27,DT,12,2,0,0,0,0,0,0,0,0,0,4,41,15,26,3,5,0
Eyioma Uwazurike,27,DL,17,1,0,0,0,0,0,0,0,0,0,3.5,39,16,23,5,5,0
Tyler Badie,25,RB,16,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0
Michael Bandy,28,WR,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jeremy Crawshaw,24,P,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Jonah Elliss,22,OLB,13,0,0,0,0,1,1,0,0,0,0,2.5,28,16,12,5,5,0
Mitchell Fraboni,29,LS,17,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0
Jordan Jackson,27,DL,5,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,1,0
Sai'vion Jones,22,DE,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Devon Key,28,DB,17,0,0,0,0,1,1,0,0,0,0,0,28,19,9,0,0,0
Karene Reid,25,LB,10,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0
Quandarrius Robinson,24,OLB,6,0,0,0,0,1,0,0,0,0,0,0.5,12,6,6,3,3,0
JL Skinner,24,S,17,0,0,0,0,0,0,0,1,0,0,0,12,8,4,0,0,0
Reese Taylor,26,CB,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
Dondrea Tillman,27,OLB,17,0,2,59,0,3,0,0,0,0,0,4,41,13,28,3,9,0
Jordan Turner,24,LB,7,0,0,0,0,0,0,0,0,0,0,0,7,1,6,0,1,0
Delarrin Turner-Yell,26,S,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Garret Wallow,26,LB,7,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0
