Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,-9999
1,Zach Allen,28,DL,17,17,0,0,0,0,6,0,0,0,0,0,7.0,38,14,24,4,47,0,PBAP-1,AlleZa01
2,Jonathon Cooper,27,OLB,17,17,0,0,0,0,4,0,0,0,0,0,8.0,50,23,27,8,16,0,,CoopJo02
3,Talanoa Hufanga,26,S,17,17,0,0,0,0,11,1,0,0,0,0,2.0,106,67,39,6,3,0,AP-2,HufaTa00
4,Riley Moss,25,CB,17,17,1,0,0,0,19,0,0,0,0,0,1.0,80,57,23,3,1,0,,MossRi00
5,Bo Nix,25,QB,17,17,0,0,0,0,0,0,4,2,0,0,0.0,0,0,0,0,0,0,,NixxBo00
6,Nik Bonitto,26,OLB,17,16,0,0,0,0,1,2,0,0,0,0,14.0,46,31,15,14,28,0,PBAP DPoY-4,BoniNi00
7,Alex Singleton,32,LB,16,16,0,0,0,0,4,1,0,0,0,0,1.0,135,54,81,3,3,0,,SingAl00
8,John Franklin-Myers,29,DL,16,15,0,0,0,0,0,0,0,0,0,0,7.5,25,12,13,6,15,0,,FranJo02
9,D.J. Jones,30,DT,16,14,0,0,0,0,1,0,0,0,0,0,3.0,39,21,18,4,6,0,,JoneD.01
10,Patrick Surtain II,25,CB,14,14,1,0,0,0,12,0,0,0,0,0,0.0,47,37,10,1,0,0,PBAP-2,SurtPa01
11,Brandon Jones,27,S,14,13,1,0,0,0,7,0,0,1,0,0,0.5,78,43,35,0,2,0,,JoneBr06
12,Adam Trautman,28,TE,17,12,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,TrauAd00
13,Justin Strnad,29,LB,16,8,1,21,0,21,3,0,0,0,0,0,4.5,58,23,35,5,8,0,,StrnJu00
14,Pat Bryant,23,WR,15,7,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,BryaPa00
15,Troy Franklin,22,WR,17,7,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,FranTr00
16,Dre Greenlaw,28,LB,8,7,1,27,0,27,2,1,0,0,0,0,1.0,43,15,28,2,2,0,,GreeDr00
17,RJ Harvey,24,RB,17,7,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,HarvRJ00
18,Nate Adkins,26,TE,9,6,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,,AdkiNa00
19,Jahdae Barron,24,CB,17,5,1,0,0,0,5,0,0,1,0,0,0.0,35,24,11,0,0,0,,BarrJa01
20,Marvin Mims,23,WR,15,4,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,,MimsMa00
21,P.J. Locke,28,S,16,3,0,0,0,0,3,0,0,0,0,0,0.0,16,9,7,1,0,0,,LockPJ00
22,Ja'Quan McMillian,25,CB,17,3,2,61,1,45,9,2,1,0,0,0,4.0,56,40,16,5,4,0,,McMiJa00
23,Adam Prentice,28,FB,17,3,0,0,0,0,0,0,0,0,0,0,0.0,11,3,8,0,0,0,,PrenAd00
24,Trent Sherfield,29,WR,10,3,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,,SherTr00
25,Kris Abrams-Draine,24,CB,17,2,0,0,0,0,1,0,0,0,0,0,0.0,30,21,9,1,0,0,,AbraKr00
26,Malcolm Roach,27,DT,12,2,0,0,0,0,0,0,0,0,0,0,4.0,41,15,26,3,5,0,,RoacMa01
27,Eyioma Uwazurike,27,DL,17,1,0,0,0,0,0,0,0,0,0,0,3.5,39,16,23,5,5,0,,UwazEy00
28,Tyler Badie,25,RB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,6,3,3,0,0,0,,BadiTy00
29,Michael Bandy,28,WR,4,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,BandMi00
30,Jeremy Crawshaw,24,P,17,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,CrawJe00
31,Jonah Elliss,22,OLB,13,0,0,0,0,0,1,1,0,0,0,0,2.5,28,16,12,5,5,0,,ElliJo03
32,Mitchell Fraboni,29,LS,17,0,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,0,,FrabMi00
33,Jordan Jackson,27,DL,5,0,0,0,0,0,0,0,0,0,0,0,0.0,7,3,4,0,1,0,,JackJo06
34,Sai'vion Jones,22,DE,3,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,JoneSa01
35,Devon Key,28,DB,17,0,0,0,0,0,1,1,0,0,0,0,0.0,28,19,9,0,0,0,AP-1,KeyxDe00
36,Karene Reid,25,LB,10,0,0,0,0,0,0,0,0,0,0,0,0.0,5,4,1,0,0,0,,ReidKa00
37,Quandarrius Robinson,24,OLB,6,0,0,0,0,0,1,0,0,0,0,0,0.5,12,6,6,3,3,0,,RobiQu00
38,JL Skinner,24,S,17,0,0,0,0,0,0,0,0,1,0,0,0.0,12,8,4,0,0,0,,SkinJL00
39,Reese Taylor,26,CB,4,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,,TaylRe01
40,Dondrea Tillman,27,OLB,17,0,2,59,0,36,3,0,0,0,0,0,4.0,41,13,28,3,9,0,,TillDo00
41,Jordan Turner,24,LB,7,0,0,0,0,0,0,0,0,0,0,0,0.0,7,1,6,0,1,0,,TurnJo00
42,Delarrin Turner-Yell,26,S,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,TurnDe02
43,Garret Wallow,26,LB,7,0,0,0,0,0,0,0,0,0,0,0,0.0,5,0,5,0,0,0,,WallGa00
,Team Totals,,,17,17,10,168,1,45,94,9,10,7,0,0,68.0,1138,605,533,82,164,0,,-9999
