Number,Player,Age,Pos,Games Played,Games Started,Weight,Heigth,Years
31,Kris Abrams-Draine,24,CB,17,2,178,5-11,1
45,Nate Adkins,26,TE,9,6,252,6-3,2
99,Zach Allen,28,DL,17,17,285,6-5,6
28,Tyler Badie,25,RB,16,0,197,5-8,3
56,Levelle Bailey,25,LB,3,0,225,6-2,1
NoNum,Michael Bandy,28,WR,4,0,190,5-10,4
23,Jahdae Barron,24,CB,17,5,200,5-11,Rook
72,Garett Bolles,33,T,17,17,300,6-5,8
15,Nik Bonitto,26,OLB,17,16,240,6-3,3
13,Pat Bryant,23,WR,15,7,204,6-2,Rook
0,Jonathon Cooper,27,OLB,17,17,257,6-4,4
16,Jeremy Crawshaw,24,P,17,0,205,6-3,Rook
73,Frank Crum,25,OT,11,2,315,6-7,1
27,J.K. Dobbins,27,RB,10,9,212,5-10,5
52,Jonah Elliss,22,OLB,13,0,246,6-2,1
1,Evan Engram,31,TE,16,2,240,6-3,8
54,Alex Forsyth,26,C,17,2,312,6-4,1
48,Mitchell Fraboni,29,LS,17,0,223,6-2,3
11,Troy Franklin,22,WR,17,7,180,6-3,1
98,John Franklin-Myers,29,DL,16,15,288,6-4,7
25,J.T. Gray,29,S,1,0,202,6-0,7
57,Dre Greenlaw,28,LB,8,7,230,6-0,6
12,RJ Harvey,24,RB,17,7,205,5-8,Rook
9,Talanoa Hufanga,26,S,17,17,200,6-0,4
NoNum,Lil'Jordan Humphrey,27,WR,7,2,225,6-4,6
94,Jordan Jackson,27,DL,5,0,294,6-4,1
22,Brandon Jones,27,S,14,13,191,6-0,5
93,D.J. Jones,30,DT,16,14,305,6-0,8
95,Sai'vion Jones,22,DE,3,0,289,6-5,Rook
26,Devon Key,28,DB,17,0,208,6-0,1
85,Lucas Krull,27,TE,3,3,260,6-6,3
89,Marcedes Lewis,41,TE,5,1,265,6-6,19
6,P.J. Locke,28,S,16,3,202,5-10,5
3,Wil Lutz,31,K,17,0,184,5-11,9
69,Mike McGlinchey,31,T,17,17,315,6-8,7
38,Jaleel McLaughlin,25,RB,8,1,187,5-7,2
29,Ja'Quan McMillian,25,CB,17,3,183,5-10,3
77,Quinn Meinerz,27,OL,17,17,320,6-3,4
19,Marvin Mims,23,WR,15,4,182,5-11,2
21,Riley Moss,25,CB,17,17,193,6-0,2
NoNum,Sam Mustipher,29,C,1,0,306,6-3,5
10,Bo Nix,25,QB,17,17,217,6-2,1
63,Alex Palczewski,26,T,17,10,314,6-6,1
79,Matt Peart,28,T,6,1,318,6-7,5
74,Ben Powers,29,G,8,6,310,6-4,6
46,Adam Prentice,28,FB,17,3,245,6-0,4
47,Karene Reid,25,LB,10,0,226,6-0,Rook
97,Malcolm Roach,27,DT,12,2,290,6-3,5
51,Quandarrius Robinson,24,OLB,6,0,243,6-4,Rook
5,Trent Sherfield,29,WR,10,3,205,6-1,7
49,Alex Singleton,32,LB,16,16,240,6-2,6
34,JL Skinner,24,S,17,0,220,6-4,2
8,Jarrett Stidham,29,QB,1,0,215,6-3,6
40,Justin Strnad,29,LB,16,8,235,6-3,4
2,Patrick Surtain II,25,CB,14,14,202,6-2,4
14,Courtland Sutton,30,WR,17,16,216,6-4,7
35,Reese Taylor,26,CB,4,0,188,5-9,1
76,Calvin Throckmorton,29,OG,10,0,311,6-5,4
92,Dondrea Tillman,27,OLB,17,0,247,6-4,1
82,Adam Trautman,28,TE,17,12,253,6-5,5
55,Jordan Turner,24,LB,7,0,231,6-1,Rook
32,Delarrin Turner-Yell,26,S,1,0,200,5-11,3
96,Eyioma Uwazurike,27,DL,17,1,320,6-6,3
50,Garret Wallow,26,LB,7,0,230,6-2,4
60,Luke Wattenberg,28,C,15,15,300,6-5,3
