No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
31,Kris Abrams-Draine,24,CB,17,2,178,5-11,Missouri,10/4/2001,1,1,Denver Broncos / 5th / 145th pick / 2024,AbraKr00
45,Nate Adkins,26,TE,9,6,252,6-3,East Tennessee St.South Carolina,7/9/1999,2,0,,AdkiNa00
99,Zach Allen,28,DL,17,17,285,6-5,Boston Col.,8/20/1997,6,19,Arizona Cardinals / 3rd / 65th pick / 2019,AlleZa01
28,Tyler Badie,25,RB,16,0,197,5-8,Missouri,2/7/2000,3,1,Baltimore Ravens / 6th / 196th pick / 2022,BadiTy00
56,Levelle Bailey,25,LB,3,0,225,6-2,Fresno St.,12/4/2000,1,0,,BailLe00
,Michael Bandy,28,WR,4,0,190,5-10,San Diego,12/5/1997,4,0,,BandMi00
23,Jahdae Barron,24,CB,17,5,200,5-11,Texas,12/4/2001,Rook,3,Denver Broncos / 1st / 20th pick / 2025,BarrJa01
72,Garett Bolles,33,T,17,17,300,6-5,Snow College (UT)Utah,5/27/1992,8,13,Denver Broncos / 1st / 20th pick / 2017,BollGa00
15,Nik Bonitto,26,OLB,17,16,240,6-3,Oklahoma,9/26/1999,3,12,Denver Broncos / 2nd / 64th pick / 2022,BoniNi00
13,Pat Bryant,23,WR,15,7,204,6-2,Illinois,12/10/2002,Rook,3,Denver Broncos / 3rd / 74th pick / 2025,BryaPa00
0,Jonathon Cooper,27,OLB,17,17,257,6-4,Ohio St.,1/8/1998,4,9,Denver Broncos / 7th / 239th pick / 2021,CoopJo02
16,Jeremy Crawshaw,24,P,17,0,205,6-3,Florida,5/22/2001,Rook,3,Denver Broncos / 6th / 216th pick / 2025,CrawJe00
73,Frank Crum,25,OT,11,2,315,6-7,Wyoming,5/14/2000,1,1,,CrumFr00
27,J.K. Dobbins,27,RB,10,9,212,5-10,Ohio St.,12/17/1998,5,5,Baltimore Ravens / 2nd / 55th pick / 2020,DobbJK00
52,Jonah Elliss,22,OLB,13,0,246,6-2,Utah,4/3/2003,1,1,Denver Broncos / 3rd / 76th pick / 2024,ElliJo03
