Player,Age,Pos,Games Played,Games Started,Rush Attempts,Rushing Yards,Rushing Touchdowns,Rushing FirstDowns,Rushing SuccessRate,Targets,Receptions,Reception Yards,Receiving Touchdowns,Receiving FirstDowns,Receiving SuccessRate,Fumbles
Courtland Sutton,30,WR,17,16,0,0,0,0,0,124,74,1017,7,52,54,0
RJ Harvey,24,RB,17,7,146,540,7,28,45.2,58,47,356,5,18,50,1
J.K. Dobbins,27,RB,10,9,153,772,4,37,53.6,14,11,37,0,0,35.7,0
Troy Franklin,22,WR,17,7,5,12,0,2,40,104,65,709,6,32,48.1,1
Evan Engram,31,TE,16,2,1,7,0,0,100,76,50,461,1,19,43.4,0
Marvin Mims,23,WR,15,4,12,78,1,3,58.3,51,37,322,1,14,43.1,2
Pat Bryant,23,WR,15,7,0,0,0,0,0,49,31,378,1,22,55.1,0
Bo Nix,25,QB,17,17,83,356,5,25,45.8,1,0,0,0,0,0,4
Jaleel McLaughlin,25,RB,8,1,37,187,1,8,59.5,6,4,27,0,2,50,0
Adam Trautman,28,TE,17,12,0,0,0,0,0,23,20,195,1,11,73.9,0
Tyler Badie,25,RB,16,0,8,23,0,1,12.5,31,19,141,0,9,38.7,0
Lil'Jordan Humphrey,27,WR,7,2,0,0,0,0,0,15,9,101,1,7,60,0
Adam Prentice,28,FB,17,3,10,44,0,7,70,8,6,53,0,3,50,0
Michael Bandy,28,WR,4,0,0,0,0,0,0,4,4,50,1,3,100,1
Nate Adkins,26,TE,9,6,0,0,0,0,0,11,6,48,1,3,45.5,0
Trent Sherfield,29,WR,10,3,0,0,0,0,0,4,3,21,0,1,25,0
Lucas Krull,27,TE,3,3,0,0,0,0,0,4,2,15,0,0,25,0
Garett Bolles,33,T,17,17,0,0,0,0,0,1,0,0,0,0,0,0
Jarrett Stidham,29,QB,1,0,1,-1,0,0,0,0,0,0,0,0,0,0
